Income,total_spending,since_customer,Age,total_children,Recency,NumStorePurchases,NumWebPurchases,AcceptedAny,cluster,segment_name
47916.0,606,4578.5,66,1,72,6,7,1,2,Segment C
51813.0,63,4453.0,54,2,37,3,2,0,4,Segment E
78497.0,978,4749.0,75,0,44,12,5,1,2,Segment C
50150.0,410,4578.5,43,0,32,7,5,0,3,Segment D
47823.0,72,4578.5,66,1,0,3,2,0,4,Segment E
34554.0,55,4578.5,67,1,43,3,2,0,4,Segment E
85693.0,1169,4578.5,47,1,59,11,9,0,1,Segment B
65846.0,1120,4578.5,81,0,68,6,6,0,3,Segment D
87195.0,1097,4179.0,67,0,35,5,3,1,2,Segment C
24594.0,29,4476.0,47,1,94,3,1,0,0,Segment A
49096.0,187,4578.5,62,2,15,4,4,0,4,Segment E
52413.0,910,4728.0,57,2,56,12,6,0,1,Segment B
38557.0,145,4578.5,48,1,17,3,3,0,0,Segment A
89058.0,850,4933.0,66,0,18,4,5,0,3,Segment D
77298.0,969,4719.0,47,1,46,11,6,0,1,Segment B
68126.0,1820,4842.0,35,0,40,5,7,1,2,Segment C
57288.0,608,4578.5,63,1,27,8,8,1,2,Segment C
86037.0,730,4729.0,35,0,95,11,6,1,2,Segment C
43974.0,551,4780.0,46,1,19,6,6,0,1,Segment B
50785.0,114,4479.0,64,2,27,3,2,0,4,Segment E
90765.0,1724,4578.5,56,0,25,5,4,1,2,Segment C
36550.0,577,4578.5,48,1,74,5,9,0,1,Segment B
30753.0,81,4450.0,59,2,85,3,1,0,4,Segment E
21918.0,33,4578.5,57,1,37,3,2,0,0,Segment A
56129.0,660,4578.5,73,1,65,10,6,0,1,Segment B
32557.0,80,4578.5,59,1,13,3,2,1,0,Segment A
19510.0,30,4662.0,41,2,63,3,1,0,0,Segment A
30992.0,43,4578.5,50,1,83,3,1,0,0,Segment A
101970.0,1135,4424.0,43,0,69,13,6,1,2,Segment C
71488.0,559,4578.5,61,0,87,7,3,0,3,Segment D
79607.0,1923,4578.5,42,0,37,6,3,1,2,Segment C
54348.0,90,4178.0,73,2,51,4,2,0,4,Segment E
51381.5,404,4450.0,65,1,23,7,6,0,1,Segment B
77376.0,661,4118.0,70,2,72,10,6,0,1,Segment B
62998.0,463,4578.5,74,1,10,5,5,0,1,Segment B
61331.0,632,4485.0,68,2,42,6,11,0,1,Segment B
73448.0,725,4121.0,57,0,10,9,7,0,3,Segment D
51381.5,725,4449.0,63,1,96,7,6,0,1,Segment B
41551.0,279,4578.5,62,2,51,5,5,0,4,Segment E
62981.0,1482,4578.5,59,0,21,13,4,1,2,Segment C
9548.0,29,4906.0,50,1,31,3,1,0,0,Segment A
33762.0,106,4573.0,67,3,61,2,2,0,4,Segment E
35860.0,49,4578.5,53,2,37,2,1,1,4,Segment E
36921.0,38,4578.5,61,2,74,3,2,0,4,Segment E
92859.0,2077,4578.5,34,0,46,12,5,0,3,Segment D
65104.0,1053,4578.5,50,1,4,7,3,1,2,Segment C
86111.0,1385,4578.5,64,0,73,10,5,0,3,Segment D
68352.0,871,4578.5,52,1,47,9,8,0,1,Segment B
41883.0,312,4578.5,38,1,13,3,4,0,0,Segment A
59809.0,877,4578.5,50,2,36,6,3,0,4,Segment E
23957.0,68,4578.5,51,1,47,3,2,1,0,Segment A
38547.0,22,4578.5,45,1,49,2,1,0,0,Segment A
35688.0,211,4578.5,53,3,94,4,4,0,4,Segment E
49605.0,127,4578.5,60,0,65,4,2,0,0,Segment A
59354.0,459,4578.5,73,2,59,7,4,0,4,Segment E
65747.0,460,4212.0,57,1,96,6,8,1,2,Segment C
46344.0,429,4578.5,54,1,28,5,7,0,1,Segment B
34176.0,89,4057.0,38,1,12,4,3,0,0,Segment A
61010.0,1021,4873.0,74,1,57,11,8,0,1,Segment B
69372.0,1381,4578.5,77,0,10,6,10,1,2,Segment C
49967.0,306,4542.0,68,1,4,5,6,0,1,Segment B
60199.0,18,4418.0,48,3,49,3,0,0,4,Segment E
55375.0,162,4578.5,49,1,3,6,1,0,0,Segment A
80317.0,1231,4578.5,71,0,64,10,3,0,3,Segment D
30523.0,13,4754.0,68,3,0,2,1,0,4,Segment E
70356.0,1706,4995.0,81,0,20,9,10,0,1,Segment B
23228.0,121,4275.0,42,1,91,4,3,0,0,Segment A
74165.0,1293,4756.0,51,0,9,10,5,0,3,Segment D
157243.0,1608,4393.0,53,1,98,0,0,0,3,Segment D
43482.0,88,4578.5,60,3,83,4,2,0,4,Segment E
62551.0,421,4578.5,73,0,27,4,6,1,2,Segment C
52332.0,259,4578.5,67,0,63,6,3,1,2,Segment C
66951.0,1117,4719.0,38,0,46,7,3,0,3,Segment D
26091.0,89,4578.5,69,2,84,3,2,0,4,Segment E
33456.0,36,4578.5,61,2,58,3,1,0,4,Segment E
28718.0,57,4578.5,44,1,78,3,2,0,0,Segment A
50447.0,148,4578.5,56,2,4,3,3,0,4,Segment E
53537.0,93,4578.5,67,2,17,3,2,0,4,Segment E
52074.0,119,4302.0,59,1,77,2,2,1,4,Segment E
80427.0,1835,4783.0,51,1,56,8,11,0,1,Segment B
83837.0,1318,4578.5,78,0,79,5,9,1,2,Segment C
38853.0,45,4578.5,56,2,90,3,2,0,4,Segment E
38285.0,10,4578.5,67,3,96,3,0,0,4,Segment E
78497.0,978,4749.0,75,0,44,12,5,1,2,Segment C
51650.0,191,4087.0,50,1,81,4,4,0,0,Segment A
16248.0,57,4118.0,38,1,77,3,2,0,0,Segment A
66835.0,1033,4578.5,80,0,21,13,6,0,1,Segment B
30477.0,66,4578.5,42,1,16,3,1,0,0,Segment A
28249.0,43,4578.5,65,0,80,3,2,0,0,Segment A
25271.0,50,4994.0,43,1,45,2,1,0,0,Segment A
32303.0,39,4181.0,56,1,63,4,1,0,0,Segment A
61286.0,608,4722.0,60,1,34,8,7,0,1,Segment B
74068.0,1581,4578.5,50,0,14,9,4,0,3,Segment D
45759.0,68,4578.5,62,2,13,3,2,0,4,Segment E
24882.0,80,4874.0,48,1,52,2,1,1,0,Segment A
66973.0,1282,4578.5,37,0,98,12,8,0,3,Segment D
36640.0,65,4578.5,126,1,99,2,2,0,4,Segment E
38872.0,91,4578.5,38,1,93,3,3,0,0,Segment A
51148.0,315,4578.5,53,2,38,6,5,0,4,Segment E
31353.0,31,4578.5,49,2,24,2,1,0,4,Segment E
69661.0,834,4578.5,46,0,80,12,7,0,3,Segment D
80067.0,1600,4578.5,72,0,82,6,4,1,2,Segment C
86718.0,1270,4578.5,72,0,20,5,5,0,3,Segment D
46854.0,263,4578.5,53,2,81,3,5,1,4,Segment E
69142.0,535,4578.5,74,1,50,7,8,1,2,Segment C
75922.0,1295,4506.0,58,0,60,9,4,0,3,Segment D
63693.0,1150,4578.5,48,1,63,9,11,0,1,Segment B
102160.0,1240,5085.0,49,0,54,10,7,1,2,Segment C
40637.0,38,4578.5,61,2,72,3,1,0,4,Segment E
18890.0,35,4842.0,42,0,5,2,0,1,0,Segment A
29604.0,53,4537.0,38,1,88,3,1,1,0,Segment A
48721.0,293,4578.5,63,2,50,5,4,0,4,Segment E
44794.0,65,4178.0,60,1,99,3,2,0,4,Segment E
64497.0,1804,4844.0,72,1,17,9,11,1,2,Segment C
46097.0,241,4578.5,70,1,11,6,3,0,4,Segment E
77972.0,1101,4578.5,72,0,18,9,4,0,3,Segment D
44377.0,264,4996.0,58,2,70,5,5,0,4,Segment E
46014.0,541,4578.5,52,2,21,8,7,0,1,Segment B
70951.0,1198,4666.0,41,0,66,9,3,0,3,Segment D
41443.0,482,4392.0,49,1,79,5,8,0,1,Segment B
52195.0,17,4057.0,48,3,2,2,1,0,4,Segment E
83790.0,1615,4578.5,78,0,81,6,8,1,2,Segment C
44551.0,285,4578.5,72,1,24,5,4,0,4,Segment E
69508.0,1135,4578.5,46,1,48,11,11,0,1,Segment B
45204.0,114,4088.0,38,1,93,4,1,0,0,Segment A
72460.0,1047,4578.5,57,0,56,7,3,0,3,Segment D
77622.0,714,4578.5,56,2,3,11,6,0,1,Segment B
30732.0,185,4640.0,46,1,44,4,4,0,0,Segment A
63887.0,1245,4905.0,64,1,38,12,9,0,1,Segment B
42011.0,189,4578.5,48,1,46,4,3,0,0,Segment A
51369.0,576,4578.5,50,1,84,4,8,0,1,Segment B
51537.0,1103,4871.0,74,1,27,11,2,0,1,Segment B
79930.0,1753,4906.0,54,0,72,8,3,0,3,Segment D
34320.0,17,4578.5,40,1,66,2,1,0,0,Segment A
37070.0,433,4578.5,60,2,30,8,5,1,4,Segment E
81975.0,1588,4640.0,64,1,2,4,6,1,2,Segment C
38590.0,22,4578.5,55,1,65,2,1,0,0,Segment A
15033.0,19,4578.5,75,0,37,3,1,0,0,Segment A
62745.0,1117,4578.5,61,1,89,11,7,0,1,Segment B
22212.0,69,4506.0,51,1,49,4,2,0,0,Segment A
23661.0,23,4659.0,44,1,46,3,1,0,0,Segment A
79761.0,605,4661.0,68,1,32,11,5,0,1,Segment B
7500.0,57,4578.5,53,1,54,3,3,0,0,Segment A
60182.0,22,4578.5,133,1,23,2,1,0,4,Segment E
73455.0,2088,4578.5,58,0,98,10,6,1,2,Segment C
64961.0,1009,4578.5,68,1,97,4,6,0,1,Segment B
22804.0,26,4578.5,55,1,75,2,2,0,0,Segment A
73687.0,1627,4578.5,36,0,8,9,3,1,2,Segment C
61074.0,1102,4578.5,68,1,37,8,11,0,1,Segment B
31686.0,17,4270.0,62,2,31,3,1,0,4,Segment E
80134.0,1690,4578.5,54,1,40,6,5,1,2,Segment C
75027.0,1390,4517.0,73,1,74,6,9,0,1,Segment B
67546.0,2126,4578.5,38,0,90,5,4,0,3,Segment D
65176.0,1531,4578.5,57,1,57,6,9,0,1,Segment B
31160.0,64,4578.5,51,1,59,3,2,0,0,Segment A
29938.0,26,4578.5,41,1,52,3,1,0,0,Segment A
102692.0,1112,4637.0,52,0,5,13,6,1,2,Segment C
26490.0,210,4578.5,68,0,92,5,3,0,0,Segment A
75702.0,1148,4578.5,59,2,77,11,4,0,1,Segment B
30899.0,33,4578.5,52,1,35,3,1,0,0,Segment A
63342.0,1101,4578.5,65,1,48,5,8,1,2,Segment C
45989.0,322,4578.5,62,1,97,7,3,0,4,Segment E
18701.0,44,4665.0,62,2,95,4,2,0,4,Segment E
40737.0,17,4537.0,69,3,24,2,1,0,4,Segment E
15287.0,31,4843.0,47,1,60,2,1,1,0,Segment A
69674.0,845,4578.5,58,2,46,10,10,0,1,Segment B
44159.0,275,4578.5,56,1,85,6,4,0,0,Segment A
37717.0,25,4578.5,48,1,31,2,1,0,0,Segment A
43776.0,275,4700.0,74,2,9,4,5,1,4,Segment E
38179.0,90,4578.5,60,2,30,3,3,0,4,Segment E
80124.0,1495,4578.5,63,0,47,8,3,1,2,Segment C
38097.0,184,4578.5,56,2,70,2,3,1,4,Segment E
72940.0,981,4578.5,56,0,13,6,3,0,3,Segment D
22070.0,67,4661.0,56,1,11,2,2,0,0,Segment A
69267.0,1635,4578.5,73,0,31,5,3,1,2,Segment C
31788.0,60,4578.5,43,1,15,4,3,0,0,Segment A
61905.0,231,4304.0,51,1,2,4,4,0,0,Segment A
29315.0,48,4241.0,66,2,55,4,2,0,4,Segment E
33378.0,99,4608.0,63,2,38,4,2,0,4,Segment E
66313.0,770,4578.5,63,1,86,12,6,0,1,Segment B
60714.0,957,4578.5,70,0,56,10,7,1,2,Segment C
77882.0,818,4578.5,45,0,29,5,3,0,3,Segment D
69867.0,925,4726.0,40,0,30,8,3,1,2,Segment C
63841.0,908,4578.5,58,1,64,9,9,0,1,Segment B
24480.0,102,4455.0,45,1,46,4,3,0,0,Segment A
51369.0,576,4578.5,50,1,84,4,8,0,1,Segment B
37760.0,317,4578.5,80,0,20,6,4,0,1,Segment B
65640.0,461,4393.0,52,1,74,8,5,0,1,Segment B
44319.0,37,4578.5,51,2,18,3,2,0,4,Segment E
30631.0,70,4420.0,52,1,75,2,3,0,0,Segment A
75278.0,930,4578.5,74,0,17,13,6,0,3,Segment D
50898.0,859,4548.0,70,2,88,12,6,0,1,Segment B
79946.0,1478,4057.0,60,0,19,5,5,0,3,Segment D
35416.0,390,4578.5,77,0,62,5,7,0,1,Segment B
32414.0,52,4664.0,42,0,11,3,1,1,0,Segment A
38361.0,137,4578.5,57,1,74,3,3,0,0,Segment A
82497.0,1919,4578.5,46,0,32,9,2,1,2,Segment C
16626.0,68,4578.5,55,2,76,3,3,0,4,Segment E
29672.0,25,4424.0,61,2,6,3,0,0,4,Segment E
55951.0,1374,4578.5,74,1,62,11,3,1,2,Segment C
35388.0,32,4577.0,38,1,20,3,1,0,0,Segment A
42386.0,100,4578.5,40,1,43,3,3,0,0,Segment A
68627.0,825,4426.0,44,0,45,6,2,0,3,Segment D
57912.0,916,4578.5,61,1,34,12,8,1,2,Segment C
35246.0,62,4578.5,68,2,53,3,3,0,4,Segment E
58821.0,728,4417.0,70,1,44,9,9,0,1,Segment B
46377.0,90,4393.0,48,1,89,3,2,0,0,Segment A
39747.0,273,4578.5,38,1,43,4,5,0,0,Segment A
23976.0,66,4578.5,42,1,68,3,3,0,0,Segment A
80950.0,1213,4578.5,65,0,44,9,6,1,2,Segment C
27038.0,107,4578.5,60,0,64,3,3,1,0,Segment A
77457.0,1157,4273.0,79,0,85,10,2,1,2,Segment C
64100.0,546,4479.0,62,1,93,6,8,1,2,Segment C
42670.0,241,4578.5,34,0,12,4,4,0,0,Segment A
12571.0,53,4578.5,50,1,86,3,3,0,0,Segment A
22574.0,37,4578.5,59,3,28,3,2,0,4,Segment E
51381.5,1611,4696.0,37,0,69,12,6,1,2,Segment C
70893.0,1508,4608.0,50,0,42,10,6,0,3,Segment D
54198.0,235,4578.5,60,2,13,6,3,0,4,Segment E
28839.0,32,4089.0,70,2,86,3,2,0,4,Segment E
40321.0,102,4578.5,54,2,59,3,3,0,4,Segment E
66503.0,401,4578.5,41,1,30,6,4,0,0,Segment A
30833.0,28,4578.5,75,2,33,3,1,0,4,Segment E
51381.5,1052,4578.5,56,3,67,10,2,1,4,Segment E
64795.0,680,4578.5,55,1,23,12,3,0,1,Segment B
34421.0,30,4754.0,52,1,81,2,1,0,0,Segment A
47025.0,20,4151.0,61,2,6,2,1,0,4,Segment E
64325.0,1307,4578.0,65,1,41,5,10,0,1,Segment B
40464.0,630,4456.0,73,1,78,8,8,0,1,Segment B
62187.0,1283,4634.0,69,0,49,5,4,0,3,Segment D
14849.0,65,4723.0,50,1,39,4,2,0,0,Segment A
27255.0,37,4569.0,42,1,3,3,1,0,0,Segment A
54432.0,38,4513.0,76,3,37,3,1,0,4,Segment E
29999.0,160,4578.5,40,1,22,4,3,0,0,Segment A
24072.0,23,4578.5,43,1,79,2,1,0,0,Segment A
33996.0,71,4448.0,37,0,46,3,1,0,0,Segment A
66334.0,1161,4698.0,70,1,82,5,9,1,2,Segment C
35178.0,59,4487.0,55,1,10,2,1,1,0,Segment A
22010.0,33,4578.5,43,1,51,3,2,0,0,Segment A
62204.0,946,4783.0,66,2,38,12,4,0,1,Segment B
75693.0,1442,4963.0,58,0,10,6,11,1,2,Segment C
30675.0,62,4781.0,54,1,14,3,1,0,0,Segment A
83003.0,1674,4699.0,61,0,18,8,7,1,2,Segment C
83532.0,1853,4578.5,127,0,36,4,4,1,2,Segment C
68655.0,1538,4845.0,38,0,95,11,4,0,3,Segment D
41411.0,139,4568.0,40,0,11,4,2,0,0,Segment A
55212.0,1182,4578.5,57,1,65,11,4,1,2,Segment C
59292.0,507,4578.5,76,1,71,8,3,0,1,Segment B
27190.0,18,4578.5,53,1,13,2,1,1,0,Segment A
82623.0,940,4477.0,74,0,58,4,2,0,3,Segment D
44300.0,42,4578.5,61,2,65,3,1,0,4,Segment E
84835.0,1190,4578.5,56,0,0,6,4,1,2,Segment C
30372.0,44,4578.5,55,2,33,3,2,0,4,Segment E
33181.0,16,4336.0,50,1,90,2,1,1,0,Segment A
71113.0,835,4578.5,69,1,95,9,6,0,1,Segment B
71952.0,1443,4487.0,40,1,93,8,8,1,2,Segment C
69759.0,1029,4578.5,60,0,38,5,4,1,2,Segment C
72099.0,1188,4578.5,52,0,18,10,3,0,3,Segment D
60000.0,1277,4578.5,50,1,57,5,11,0,1,Segment B
38643.0,49,4578.5,48,2,45,3,2,0,4,Segment E
50737.0,99,4452.0,71,1,61,4,2,1,4,Segment E
68462.0,1670,4780.0,57,0,6,8,3,0,3,Segment D
65073.0,900,4578.5,83,0,65,5,5,0,3,Segment D
46681.0,425,4539.0,78,2,52,4,4,0,4,Segment E
78618.0,2153,4578.5,69,0,87,10,4,1,2,Segment C
62187.0,636,4578.5,57,1,38,10,6,0,1,Segment B
28442.0,57,4578.5,48,2,53,4,2,0,4,Segment E
37717.0,25,4578.5,48,1,31,2,1,0,0,Segment A
51479.0,494,4578.5,59,2,67,6,6,0,1,Segment B
54803.0,693,4578.5,57,1,65,9,6,0,1,Segment B
79530.0,1348,4578.5,66,0,64,11,4,0,3,Segment D
31615.0,51,4578.5,50,1,82,3,2,0,0,Segment A
72025.0,1932,4578.5,64,0,27,8,4,0,3,Segment D
52614.0,990,5115.0,51,1,63,8,2,0,1,Segment B
35684.0,30,4578.5,42,1,66,3,1,0,0,Segment A
48178.0,254,4578.5,51,2,69,4,5,0,4,Segment E
29548.0,29,4578.5,56,1,52,2,1,1,0,Segment A
63810.0,1371,4811.0,60,1,45,12,4,1,2,Segment C
38578.0,73,4578.5,54,2,2,3,3,1,4,Segment E
46098.0,120,4578.5,51,2,86,2,3,0,4,Segment E
22585.0,81,4578.5,56,0,23,2,1,1,0,Segment A
30279.0,37,4578.5,37,1,13,3,1,0,0,Segment A
66426.0,1377,4720.0,65,1,14,10,3,0,1,Segment B
30822.0,51,4578.5,57,1,92,3,1,0,0,Segment A
33581.0,17,4548.0,57,2,38,2,1,0,4,Segment E
19986.0,22,4578.5,41,1,74,3,0,0,0,Segment A
27421.0,324,4780.0,72,0,14,6,4,0,0,Segment A
35688.0,211,4578.5,53,3,94,4,4,0,4,Segment E
36143.0,19,4578.5,45,1,33,2,0,0,0,Segment A
10245.0,41,4578.5,55,1,32,2,1,0,0,Segment A
43795.0,492,4578.5,58,1,11,4,7,1,2,Segment C
63381.0,1005,4996.0,66,1,78,13,4,0,1,Segment B
38823.0,114,4578.5,77,1,56,3,2,0,4,Segment E
83664.0,1173,4544.0,58,2,57,12,2,0,1,Segment B
90300.0,1738,4336.0,47,0,7,8,5,1,2,Segment C
62499.0,222,4506.0,47,1,0,6,3,0,0,Segment A
74293.0,1127,4301.0,33,0,66,6,5,0,3,Segment D
51012.0,209,4578.5,80,0,86,4,4,0,1,Segment B
70777.0,787,4578.5,58,1,80,12,5,0,1,Segment B
68682.0,1598,4600.0,35,0,56,10,4,0,3,Segment D
43824.0,186,4578.5,55,2,18,4,3,0,4,Segment E
15345.0,47,4578.5,42,1,51,2,1,1,0,Segment A
23442.0,27,4578.5,39,1,71,3,1,0,0,Segment A
14515.0,96,4872.0,46,1,71,3,2,1,0,Segment A
31395.0,64,4578.5,70,2,80,3,2,0,4,Segment E
75276.0,1040,4578.5,61,0,2,9,9,0,1,Segment B
42373.0,163,4578.5,52,2,83,5,2,0,4,Segment E
30507.0,343,4454.0,66,0,29,4,5,0,0,Segment A
55521.0,446,4578.5,71,3,11,6,6,1,4,Segment E
48006.0,41,4147.0,61,2,55,3,1,0,4,Segment E
27213.0,70,4578.5,54,1,19,4,2,1,0,Segment A
65808.0,272,4578.5,55,2,1,5,5,0,4,Segment E
30351.0,46,4604.0,52,1,19,2,3,0,0,Segment A
50437.0,490,4578.5,63,2,28,8,7,0,1,Segment B
23616.0,79,4578.5,44,1,76,3,3,1,0,Segment A
53858.0,915,4872.0,50,1,50,6,4,0,1,Segment B
66465.0,1485,4578.5,71,1,1,12,11,1,2,Segment C
46923.0,369,4578.5,39,1,90,7,5,0,0,Segment A
75072.0,1073,4578.5,64,1,83,8,5,0,1,Segment B
75865.0,1242,4578.5,83,0,73,10,3,0,3,Segment D
19789.0,78,4578.5,51,1,24,3,2,1,0,Segment A
80134.0,1378,4578.5,32,0,11,11,2,1,2,Segment C
91065.0,1474,4578.5,45,0,33,9,7,1,2,Segment C
49505.0,751,4638.0,55,2,4,8,10,0,1,Segment B
37401.0,48,4240.0,53,1,14,3,2,0,0,Segment A
30096.0,45,4578.5,43,1,30,3,2,0,0,Segment A
18492.0,10,4270.0,44,1,75,2,1,0,0,Segment A
82584.0,1435,4665.0,52,0,26,8,3,1,2,Segment C
93027.0,2119,4578.5,85,0,77,5,7,1,2,Segment C
48686.0,20,4659.0,73,3,8,2,1,0,4,Segment E
92910.0,1795,4578.5,40,0,42,13,6,1,2,Segment C
75433.0,1188,4272.0,37,1,28,10,2,1,2,Segment C
10404.0,43,4301.0,37,1,52,4,1,0,0,Segment A
61314.0,1008,4578.5,58,1,1,12,5,0,1,Segment B
84865.0,1688,4513.0,65,0,1,9,2,1,2,Segment C
42387.0,684,4578.5,37,1,42,7,8,0,1,Segment B
67309.0,1082,4578.5,59,2,76,9,9,0,1,Segment B
75236.0,1068,4578.5,62,1,27,13,8,0,1,Segment B
30015.0,57,4363.0,56,1,28,4,1,0,0,Segment A
50943.0,46,4578.5,70,1,49,3,1,0,4,Segment E
67272.0,733,4578.5,60,1,12,12,6,0,1,Segment B
51529.0,467,4571.0,77,1,14,5,9,0,1,Segment B
32011.0,122,4578.5,55,1,89,4,2,0,0,Segment A
7500.0,36,4578.0,40,1,96,3,2,0,0,Segment A
28691.0,34,4664.0,37,1,56,3,1,0,0,Segment A
56223.0,156,4578.5,78,1,72,5,2,0,4,Segment E
18100.0,14,4602.0,80,0,14,3,0,0,0,Segment A
